Total Nacional;Comunidades y Ciudades Autónomas;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;;Total;Índice;2022;115,684
Total Nacional;;Total;Índice;2021;112,694
Total Nacional;;Total;Índice;2020;110,942
Total Nacional;;Total;Índice;2019;109,999
Total Nacional;;Total;Índice;2018;106,247
Total Nacional;;Total;Índice;2017;103,528
Total Nacional;;Total;Índice;2016;101,681
Total Nacional;;Total;Índice;2015;100
Total Nacional;;Total;Índice;2014;99,741
Total Nacional;;Total;Índice;2013;100,493
Total Nacional;;Total;Índice;2012;103,193
Total Nacional;;Total;Índice;2011;104,761
Total Nacional;;Total;Variación anual;2022;2,7
Total Nacional;;Total;Variación anual;2021;1,6
Total Nacional;;Total;Variación anual;2020;0,9
Total Nacional;;Total;Variación anual;2019;3,5
Total Nacional;;Total;Variación anual;2018;2,6
Total Nacional;;Total;Variación anual;2017;1,8
Total Nacional;;Total;Variación anual;2016;1,7
Total Nacional;;Total;Variación anual;2015;0,3
Total Nacional;;Total;Variación anual;2014;-0,7
Total Nacional;;Total;Variación anual;2013;-2,6
Total Nacional;;Total;Variación anual;2012;-1,5
Total Nacional;;Total;Variación anual;2011;..
Total Nacional;;Vivienda unifamiliar;Índice;2022;112,215
Total Nacional;;Vivienda unifamiliar;Índice;2021;109,513
Total Nacional;;Vivienda unifamiliar;Índice;2020;107,422
Total Nacional;;Vivienda unifamiliar;Índice;2019;106,79
Total Nacional;;Vivienda unifamiliar;Índice;2018;105,205
Total Nacional;;Vivienda unifamiliar;Índice;2017;103,327
Total Nacional;;Vivienda unifamiliar;Índice;2016;101,744
Total Nacional;;Vivienda unifamiliar;Índice;2015;100
Total Nacional;;Vivienda unifamiliar;Índice;2014;99,367
Total Nacional;;Vivienda unifamiliar;Índice;2013;99,347
Total Nacional;;Vivienda unifamiliar;Índice;2012;101,106
Total Nacional;;Vivienda unifamiliar;Índice;2011;102,42
Total Nacional;;Vivienda unifamiliar;Variación anual;2022;2,5
Total Nacional;;Vivienda unifamiliar;Variación anual;2021;1,9
Total Nacional;;Vivienda unifamiliar;Variación anual;2020;0,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2019;1,5
Total Nacional;;Vivienda unifamiliar;Variación anual;2018;1,8
Total Nacional;;Vivienda unifamiliar;Variación anual;2017;1,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2016;1,7
Total Nacional;;Vivienda unifamiliar;Variación anual;2015;0,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2014;0
Total Nacional;;Vivienda unifamiliar;Variación anual;2013;-1,7
Total Nacional;;Vivienda unifamiliar;Variación anual;2012;-1,3
Total Nacional;;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;;Vivienda colectiva;Índice;2022;116,115
Total Nacional;;Vivienda colectiva;Índice;2021;113,088
Total Nacional;;Vivienda colectiva;Índice;2020;111,382
Total Nacional;;Vivienda colectiva;Índice;2019;110,4
